ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial
0.1889,0.7,0.2778,0.7
0.1889,0.7,0.2778,1.0
0.1889,0.7,0.2778,1.5
0.1889,0.7,0.2778,2.0
0.1889,0.7,0.2778,4.0
0.1889,0.7,0.2778,6.0
0.1889,0.7,0.2778,8.0
0.1889,0.7,0.2778,10.0
0.1889,0.7,0.3667,0.1
0.1889,0.7,0.3667,0.4
0.1889,0.7,0.3667,0.7
0.1889,0.7,0.3667,1.0
0.1889,0.7,0.3667,1.5
0.1889,0.7,0.3667,2.0
0.1889,0.7,0.3667,4.0
0.1889,0.7,0.3667,6.0
0.1889,0.7,0.3667,8.0
0.1889,0.7,0.3667,10.0
0.1889,0.7,0.4556,0.1
0.1889,0.7,0.4556,0.4
0.1889,0.7,0.4556,0.7
0.1889,0.7,0.4556,1.0
0.1889,0.7,0.4556,1.5
0.1889,0.7,0.4556,2.0
0.1889,0.7,0.4556,4.0
0.1889,0.7,0.4556,6.0
0.1889,0.7,0.4556,8.0
0.1889,0.7,0.4556,10.0
0.1889,0.7,0.5444,0.1
0.1889,0.7,0.5444,0.4
0.1889,0.7,0.5444,0.7
0.1889,0.7,0.5444,1.0
0.1889,0.7,0.5444,1.5
0.1889,0.7,0.5444,2.0
0.1889,0.7,0.5444,4.0
0.1889,0.7,0.5444,6.0
0.1889,0.7,0.5444,8.0
0.1889,0.7,0.5444,10.0
0.1889,0.7,0.6333,0.1
0.1889,0.7,0.6333,0.4
0.1889,0.7,0.6333,0.7
0.1889,0.7,0.6333,1.0
0.1889,0.7,0.6333,1.5
0.1889,0.7,0.6333,2.0
0.1889,0.7,0.6333,4.0
0.1889,0.7,0.6333,6.0
0.1889,0.7,0.6333,8.0
0.1889,0.7,0.6333,10.0
0.1889,0.7,0.7222,0.1
0.1889,0.7,0.7222,0.4
0.1889,0.7,0.7222,0.7
0.1889,0.7,0.7222,1.0
0.1889,0.7,0.7222,1.5
0.1889,0.7,0.7222,2.0
0.1889,0.7,0.7222,4.0
0.1889,0.7,0.7222,6.0
0.1889,0.7,0.7222,8.0
0.1889,0.7,0.7222,10.0
0.1889,0.7,0.8111,0.1
0.1889,0.7,0.8111,0.4
0.1889,0.7,0.8111,0.7
0.1889,0.7,0.8111,1.0
0.1889,0.7,0.8111,1.5
0.1889,0.7,0.8111,2.0
0.1889,0.7,0.8111,4.0
0.1889,0.7,0.8111,6.0
0.1889,0.7,0.8111,8.0
0.1889,0.7,0.8111,10.0
0.1889,0.7,0.9,0.1
0.1889,0.7,0.9,0.4
0.1889,0.7,0.9,0.7
0.1889,0.7,0.9,1.0
0.1889,0.7,0.9,1.5
0.1889,0.7,0.9,2.0
0.1889,0.7,0.9,4.0
0.1889,0.7,0.9,6.0
0.1889,0.7,0.9,8.0
0.1889,0.7,0.9,10.0
0.1889,1.0,0.1,0.1
0.1889,1.0,0.1,0.4
0.1889,1.0,0.1,0.7
0.1889,1.0,0.1,1.0
0.1889,1.0,0.1,1.5
0.1889,1.0,0.1,2.0
0.1889,1.0,0.1,4.0
0.1889,1.0,0.1,6.0
0.1889,1.0,0.1,8.0
0.1889,1.0,0.1,10.0
0.1889,1.0,0.1889,0.1
0.1889,1.0,0.1889,0.4
0.1889,1.0,0.1889,0.7
0.1889,1.0,0.1889,1.0
0.1889,1.0,0.1889,1.5
0.1889,1.0,0.1889,2.0
0.1889,1.0,0.1889,4.0
0.1889,1.0,0.1889,6.0
0.1889,1.0,0.1889,8.0
0.1889,1.0,0.1889,10.0
0.1889,1.0,0.2778,0.1
0.1889,1.0,0.2778,0.4
0.1889,1.0,0.2778,0.7
0.1889,1.0,0.2778,1.0
0.1889,1.0,0.2778,1.5
0.1889,1.0,0.2778,2.0
0.1889,1.0,0.2778,4.0
0.1889,1.0,0.2778,6.0
0.1889,1.0,0.2778,8.0
0.1889,1.0,0.2778,10.0
0.1889,1.0,0.3667,0.1
0.1889,1.0,0.3667,0.4
0.1889,1.0,0.3667,0.7
0.1889,1.0,0.3667,1.0
0.1889,1.0,0.3667,1.5
0.1889,1.0,0.3667,2.0
0.1889,1.0,0.3667,4.0
0.1889,1.0,0.3667,6.0
0.1889,1.0,0.3667,8.0
0.1889,1.0,0.3667,10.0
0.1889,1.0,0.4556,0.1
0.1889,1.0,0.4556,0.4
0.1889,1.0,0.4556,0.7
0.1889,1.0,0.4556,1.0
0.1889,1.0,0.4556,1.5
0.1889,1.0,0.4556,2.0
0.1889,1.0,0.4556,4.0
0.1889,1.0,0.4556,6.0
0.1889,1.0,0.4556,8.0
0.1889,1.0,0.4556,10.0
0.1889,1.0,0.5444,0.1
0.1889,1.0,0.5444,0.4
0.1889,1.0,0.5444,0.7
0.1889,1.0,0.5444,1.0
0.1889,1.0,0.5444,1.5
0.1889,1.0,0.5444,2.0
0.1889,1.0,0.5444,4.0
0.1889,1.0,0.5444,6.0
0.1889,1.0,0.5444,8.0
0.1889,1.0,0.5444,10.0
0.1889,1.0,0.6333,0.1
0.1889,1.0,0.6333,0.4
0.1889,1.0,0.6333,0.7
0.1889,1.0,0.6333,1.0
0.1889,1.0,0.6333,1.5
0.1889,1.0,0.6333,2.0
0.1889,1.0,0.6333,4.0
0.1889,1.0,0.6333,6.0
0.1889,1.0,0.6333,8.0
0.1889,1.0,0.6333,10.0
0.1889,1.0,0.7222,0.1
0.1889,1.0,0.7222,0.4
0.1889,1.0,0.7222,0.7
0.1889,1.0,0.7222,1.0
0.1889,1.0,0.7222,1.5
0.1889,1.0,0.7222,2.0
0.1889,1.0,0.7222,4.0
0.1889,1.0,0.7222,6.0
0.1889,1.0,0.7222,8.0
0.1889,1.0,0.7222,10.0
0.1889,1.0,0.8111,0.1
0.1889,1.0,0.8111,0.4
0.1889,1.0,0.8111,0.7
0.1889,1.0,0.8111,1.0
0.1889,1.0,0.8111,1.5
0.1889,1.0,0.8111,2.0
0.1889,1.0,0.8111,4.0
0.1889,1.0,0.8111,6.0
0.1889,1.0,0.8111,8.0
0.1889,1.0,0.8111,10.0
0.1889,1.0,0.9,0.1
0.1889,1.0,0.9,0.4
0.1889,1.0,0.9,0.7
0.1889,1.0,0.9,1.0
0.1889,1.0,0.9,1.5
0.1889,1.0,0.9,2.0
0.1889,1.0,0.9,4.0
0.1889,1.0,0.9,6.0
0.1889,1.0,0.9,8.0
0.1889,1.0,0.9,10.0
0.1889,3.0,0.1,0.1
0.1889,3.0,0.1,0.4
0.1889,3.0,0.1,0.7
0.1889,3.0,0.1,1.0
0.1889,3.0,0.1,1.5
0.1889,3.0,0.1,2.0
0.1889,3.0,0.1,4.0
0.1889,3.0,0.1,6.0
0.1889,3.0,0.1,8.0
0.1889,3.0,0.1,10.0
0.1889,3.0,0.1889,0.1
0.1889,3.0,0.1889,0.4
0.1889,3.0,0.1889,0.7
0.1889,3.0,0.1889,1.0
0.1889,3.0,0.1889,1.5
0.1889,3.0,0.1889,2.0
0.1889,3.0,0.1889,4.0
0.1889,3.0,0.1889,6.0
0.1889,3.0,0.1889,8.0
0.1889,3.0,0.1889,10.0
0.1889,3.0,0.2778,0.1
0.1889,3.0,0.2778,0.4
0.1889,3.0,0.2778,0.7
0.1889,3.0,0.2778,1.0
0.1889,3.0,0.2778,1.5
0.1889,3.0,0.2778,2.0
0.1889,3.0,0.2778,4.0
0.1889,3.0,0.2778,6.0
0.1889,3.0,0.2778,8.0
0.1889,3.0,0.2778,10.0
0.1889,3.0,0.3667,0.1
0.1889,3.0,0.3667,0.4
0.1889,3.0,0.3667,0.7
0.1889,3.0,0.3667,1.0
0.1889,3.0,0.3667,1.5
0.1889,3.0,0.3667,2.0
0.1889,3.0,0.3667,4.0
0.1889,3.0,0.3667,6.0
0.1889,3.0,0.3667,8.0
0.1889,3.0,0.3667,10.0
0.1889,3.0,0.4556,0.1
0.1889,3.0,0.4556,0.4
0.1889,3.0,0.4556,0.7
0.1889,3.0,0.4556,1.0
0.1889,3.0,0.4556,1.5
0.1889,3.0,0.4556,2.0
0.1889,3.0,0.4556,4.0
0.1889,3.0,0.4556,6.0
0.1889,3.0,0.4556,8.0
0.1889,3.0,0.4556,10.0
0.1889,3.0,0.5444,0.1
0.1889,3.0,0.5444,0.4
0.1889,3.0,0.5444,0.7
0.1889,3.0,0.5444,1.0
0.1889,3.0,0.5444,1.5
0.1889,3.0,0.5444,2.0
0.1889,3.0,0.5444,4.0
0.1889,3.0,0.5444,6.0
0.1889,3.0,0.5444,8.0
0.1889,3.0,0.5444,10.0
0.1889,3.0,0.6333,0.1
0.1889,3.0,0.6333,0.4
0.1889,3.0,0.6333,0.7
0.1889,3.0,0.6333,1.0
0.1889,3.0,0.6333,1.5
0.1889,3.0,0.6333,2.0
0.1889,3.0,0.6333,4.0
0.1889,3.0,0.6333,6.0
0.1889,3.0,0.6333,8.0
0.1889,3.0,0.6333,10.0
0.1889,3.0,0.7222,0.1
0.1889,3.0,0.7222,0.4
0.1889,3.0,0.7222,0.7
0.1889,3.0,0.7222,1.0
0.1889,3.0,0.7222,1.5
0.1889,3.0,0.7222,2.0
0.1889,3.0,0.7222,4.0
0.1889,3.0,0.7222,6.0
0.1889,3.0,0.7222,8.0
0.1889,3.0,0.7222,10.0
0.1889,3.0,0.8111,0.1
0.1889,3.0,0.8111,0.4
0.1889,3.0,0.8111,0.7
0.1889,3.0,0.8111,1.0
0.1889,3.0,0.8111,1.5
0.1889,3.0,0.8111,2.0
0.1889,3.0,0.8111,4.0
0.1889,3.0,0.8111,6.0
0.1889,3.0,0.8111,8.0
0.1889,3.0,0.8111,10.0
0.1889,3.0,0.9,0.1
0.1889,3.0,0.9,0.4
0.1889,3.0,0.9,0.7
0.1889,3.0,0.9,1.0
0.1889,3.0,0.9,1.5
0.1889,3.0,0.9,2.0
0.1889,3.0,0.9,4.0
0.1889,3.0,0.9,6.0
0.1889,3.0,0.9,8.0
0.1889,3.0,0.9,10.0
0.1889,5.0,0.1,0.1
0.1889,5.0,0.1,0.4
0.1889,5.0,0.1,0.7
0.1889,5.0,0.1,1.0
0.1889,5.0,0.1,1.5
0.1889,5.0,0.1,2.0
0.1889,5.0,0.1,4.0
0.1889,5.0,0.1,6.0
0.1889,5.0,0.1,8.0
0.1889,5.0,0.1,10.0
0.1889,5.0,0.1889,0.1
0.1889,5.0,0.1889,0.4
0.1889,5.0,0.1889,0.7
0.1889,5.0,0.1889,1.0
0.1889,5.0,0.1889,1.5
0.1889,5.0,0.1889,2.0
0.1889,5.0,0.1889,4.0
0.1889,5.0,0.1889,6.0
0.1889,5.0,0.1889,8.0
0.1889,5.0,0.1889,10.0
0.1889,5.0,0.2778,0.1
0.1889,5.0,0.2778,0.4
0.1889,5.0,0.2778,0.7
0.1889,5.0,0.2778,1.0
0.1889,5.0,0.2778,1.5
0.1889,5.0,0.2778,2.0
0.1889,5.0,0.2778,4.0
0.1889,5.0,0.2778,6.0
0.1889,5.0,0.2778,8.0
0.1889,5.0,0.2778,10.0
0.1889,5.0,0.3667,0.1
0.1889,5.0,0.3667,0.4
0.1889,5.0,0.3667,0.7
0.1889,5.0,0.3667,1.0
0.1889,5.0,0.3667,1.5
0.1889,5.0,0.3667,2.0
0.1889,5.0,0.3667,4.0
0.1889,5.0,0.3667,6.0
0.1889,5.0,0.3667,8.0
0.1889,5.0,0.3667,10.0
0.1889,5.0,0.4556,0.1
0.1889,5.0,0.4556,0.4
0.1889,5.0,0.4556,0.7
0.1889,5.0,0.4556,1.0
0.1889,5.0,0.4556,1.5
0.1889,5.0,0.4556,2.0
0.1889,5.0,0.4556,4.0
0.1889,5.0,0.4556,6.0
0.1889,5.0,0.4556,8.0
0.1889,5.0,0.4556,10.0
0.1889,5.0,0.5444,0.1
0.1889,5.0,0.5444,0.4
0.1889,5.0,0.5444,0.7
0.1889,5.0,0.5444,1.0
0.1889,5.0,0.5444,1.5
0.1889,5.0,0.5444,2.0
0.1889,5.0,0.5444,4.0
0.1889,5.0,0.5444,6.0
0.1889,5.0,0.5444,8.0
0.1889,5.0,0.5444,10.0
0.1889,5.0,0.6333,0.1
0.1889,5.0,0.6333,0.4
0.1889,5.0,0.6333,0.7
0.1889,5.0,0.6333,1.0
0.1889,5.0,0.6333,1.5
0.1889,5.0,0.6333,2.0
0.1889,5.0,0.6333,4.0
0.1889,5.0,0.6333,6.0
0.1889,5.0,0.6333,8.0
0.1889,5.0,0.6333,10.0
0.1889,5.0,0.7222,0.1
0.1889,5.0,0.7222,0.4
0.1889,5.0,0.7222,0.7
0.1889,5.0,0.7222,1.0
0.1889,5.0,0.7222,1.5
0.1889,5.0,0.7222,2.0
0.1889,5.0,0.7222,4.0
0.1889,5.0,0.7222,6.0
0.1889,5.0,0.7222,8.0
0.1889,5.0,0.7222,10.0
0.1889,5.0,0.8111,0.1
0.1889,5.0,0.8111,0.4
0.1889,5.0,0.8111,0.7
0.1889,5.0,0.8111,1.0
0.1889,5.0,0.8111,1.5
0.1889,5.0,0.8111,2.0
0.1889,5.0,0.8111,4.0
0.1889,5.0,0.8111,6.0
0.1889,5.0,0.8111,8.0
0.1889,5.0,0.8111,10.0
0.1889,5.0,0.9,0.1
0.1889,5.0,0.9,0.4
0.1889,5.0,0.9,0.7
0.1889,5.0,0.9,1.0
0.1889,5.0,0.9,1.5
0.1889,5.0,0.9,2.0
0.1889,5.0,0.9,4.0
0.1889,5.0,0.9,6.0
0.1889,5.0,0.9,8.0
0.1889,5.0,0.9,10.0
0.1889,7.0,0.1,0.1
0.1889,7.0,0.1,0.4
0.1889,7.0,0.1,0.7
0.1889,7.0,0.1,1.0
0.1889,7.0,0.1,1.5
0.1889,7.0,0.1,2.0
0.1889,7.0,0.1,4.0
0.1889,7.0,0.1,6.0
0.1889,7.0,0.1,8.0
0.1889,7.0,0.1,10.0
0.1889,7.0,0.1889,0.1
0.1889,7.0,0.1889,0.4
0.1889,7.0,0.1889,0.7
0.1889,7.0,0.1889,1.0
0.1889,7.0,0.1889,1.5
0.1889,7.0,0.1889,2.0
0.1889,7.0,0.1889,4.0
0.1889,7.0,0.1889,6.0
0.1889,7.0,0.1889,8.0
0.1889,7.0,0.1889,10.0
0.1889,7.0,0.2778,0.1
0.1889,7.0,0.2778,0.4
0.1889,7.0,0.2778,0.7
0.1889,7.0,0.2778,1.0
0.1889,7.0,0.2778,1.5
0.1889,7.0,0.2778,2.0
0.1889,7.0,0.2778,4.0
0.1889,7.0,0.2778,6.0
0.1889,7.0,0.2778,8.0
0.1889,7.0,0.2778,10.0
0.1889,7.0,0.3667,0.1
0.1889,7.0,0.3667,0.4
0.1889,7.0,0.3667,0.7
0.1889,7.0,0.3667,1.0
0.1889,7.0,0.3667,1.5
0.1889,7.0,0.3667,2.0
0.1889,7.0,0.3667,4.0
0.1889,7.0,0.3667,6.0
0.1889,7.0,0.3667,8.0
0.1889,7.0,0.3667,10.0
0.1889,7.0,0.4556,0.1
0.1889,7.0,0.4556,0.4
0.1889,7.0,0.4556,0.7
0.1889,7.0,0.4556,1.0
0.1889,7.0,0.4556,1.5
0.1889,7.0,0.4556,2.0
0.1889,7.0,0.4556,4.0
0.1889,7.0,0.4556,6.0
0.1889,7.0,0.4556,8.0
0.1889,7.0,0.4556,10.0
0.1889,7.0,0.5444,0.1
0.1889,7.0,0.5444,0.4
0.1889,7.0,0.5444,0.7
0.1889,7.0,0.5444,1.0
0.1889,7.0,0.5444,1.5
0.1889,7.0,0.5444,2.0
0.1889,7.0,0.5444,4.0
0.1889,7.0,0.5444,6.0
0.1889,7.0,0.5444,8.0
0.1889,7.0,0.5444,10.0
0.1889,7.0,0.6333,0.1
0.1889,7.0,0.6333,0.4
0.1889,7.0,0.6333,0.7
0.1889,7.0,0.6333,1.0
0.1889,7.0,0.6333,1.5
0.1889,7.0,0.6333,2.0
0.1889,7.0,0.6333,4.0
0.1889,7.0,0.6333,6.0
0.1889,7.0,0.6333,8.0
0.1889,7.0,0.6333,10.0
0.1889,7.0,0.7222,0.1
0.1889,7.0,0.7222,0.4
0.1889,7.0,0.7222,0.7
0.1889,7.0,0.7222,1.0
0.1889,7.0,0.7222,1.5
0.1889,7.0,0.7222,2.0
0.1889,7.0,0.7222,4.0
0.1889,7.0,0.7222,6.0
0.1889,7.0,0.7222,8.0
0.1889,7.0,0.7222,10.0
0.1889,7.0,0.8111,0.1
0.1889,7.0,0.8111,0.4
0.1889,7.0,0.8111,0.7
0.1889,7.0,0.8111,1.0
0.1889,7.0,0.8111,1.5
0.1889,7.0,0.8111,2.0
0.1889,7.0,0.8111,4.0
0.1889,7.0,0.8111,6.0
0.1889,7.0,0.8111,8.0
0.1889,7.0,0.8111,10.0
0.1889,7.0,0.9,0.1
0.1889,7.0,0.9,0.4
0.1889,7.0,0.9,0.7
0.1889,7.0,0.9,1.0
0.1889,7.0,0.9,1.5
0.1889,7.0,0.9,2.0
0.1889,7.0,0.9,4.0
0.1889,7.0,0.9,6.0
0.1889,7.0,0.9,8.0
0.1889,7.0,0.9,10.0
0.2778,0.07,0.1,0.1
0.2778,0.07,0.1,0.4
0.2778,0.07,0.1,0.7
0.2778,0.07,0.1,1.0
0.2778,0.07,0.1,1.5
0.2778,0.07,0.1,2.0
0.2778,0.07,0.1,4.0
0.2778,0.07,0.1,6.0
0.2778,0.07,0.1,8.0
0.2778,0.07,0.1,10.0
0.2778,0.07,0.1889,0.1
0.2778,0.07,0.1889,0.4
0.2778,0.07,0.1889,0.7
0.2778,0.07,0.1889,1.0
0.2778,0.07,0.1889,1.5
0.2778,0.07,0.1889,2.0
0.2778,0.07,0.1889,4.0
0.2778,0.07,0.1889,6.0
0.2778,0.07,0.1889,8.0
0.2778,0.07,0.1889,10.0
0.2778,0.07,0.2778,0.1
0.2778,0.07,0.2778,0.4
0.2778,0.07,0.2778,0.7
0.2778,0.07,0.2778,1.0
0.2778,0.07,0.2778,1.5
0.2778,0.07,0.2778,2.0
0.2778,0.07,0.2778,4.0
0.2778,0.07,0.2778,6.0
0.2778,0.07,0.2778,8.0
0.2778,0.07,0.2778,10.0
0.2778,0.07,0.3667,0.1
0.2778,0.07,0.3667,0.4
0.2778,0.07,0.3667,0.7
0.2778,0.07,0.3667,1.0
0.2778,0.07,0.3667,1.5
0.2778,0.07,0.3667,2.0
0.2778,0.07,0.3667,4.0
0.2778,0.07,0.3667,6.0
0.2778,0.07,0.3667,8.0
0.2778,0.07,0.3667,10.0
0.2778,0.07,0.4556,0.1
0.2778,0.07,0.4556,0.4
0.2778,0.07,0.4556,0.7
0.2778,0.07,0.4556,1.0
0.2778,0.07,0.4556,1.5
0.2778,0.07,0.4556,2.0
0.2778,0.07,0.4556,4.0
0.2778,0.07,0.4556,6.0
0.2778,0.07,0.4556,8.0
0.2778,0.07,0.4556,10.0
0.2778,0.07,0.5444,0.1
0.2778,0.07,0.5444,0.4
0.2778,0.07,0.5444,0.7
0.2778,0.07,0.5444,1.0
0.2778,0.07,0.5444,1.5
0.2778,0.07,0.5444,2.0
0.2778,0.07,0.5444,4.0
0.2778,0.07,0.5444,6.0
0.2778,0.07,0.5444,8.0
0.2778,0.07,0.5444,10.0
0.2778,0.07,0.6333,0.1
0.2778,0.07,0.6333,0.4
0.2778,0.07,0.6333,0.7
0.2778,0.07,0.6333,1.0
0.2778,0.07,0.6333,1.5
0.2778,0.07,0.6333,2.0
0.2778,0.07,0.6333,4.0
0.2778,0.07,0.6333,6.0
0.2778,0.07,0.6333,8.0
0.2778,0.07,0.6333,10.0
0.2778,0.07,0.7222,0.1
0.2778,0.07,0.7222,0.4
0.2778,0.07,0.7222,0.7
0.2778,0.07,0.7222,1.0
0.2778,0.07,0.7222,1.5
0.2778,0.07,0.7222,2.0
0.2778,0.07,0.7222,4.0
0.2778,0.07,0.7222,6.0
0.2778,0.07,0.7222,8.0
0.2778,0.07,0.7222,10.0
0.2778,0.07,0.8111,0.1
0.2778,0.07,0.8111,0.4
0.2778,0.07,0.8111,0.7
0.2778,0.07,0.8111,1.0
0.2778,0.07,0.8111,1.5
0.2778,0.07,0.8111,2.0
0.2778,0.07,0.8111,4.0
0.2778,0.07,0.8111,6.0
0.2778,0.07,0.8111,8.0
0.2778,0.07,0.8111,10.0
0.2778,0.07,0.9,0.1
0.2778,0.07,0.9,0.4
0.2778,0.07,0.9,0.7
0.2778,0.07,0.9,1.0
0.2778,0.07,0.9,1.5
0.2778,0.07,0.9,2.0
0.2778,0.07,0.9,4.0
0.2778,0.07,0.9,6.0
0.2778,0.07,0.9,8.0
0.2778,0.07,0.9,10.0
0.2778,0.1,0.1,0.1
0.2778,0.1,0.1,0.4
0.2778,0.1,0.1,0.7
0.2778,0.1,0.1,1.0
0.2778,0.1,0.1,1.5
0.2778,0.1,0.1,2.0
0.2778,0.1,0.1,4.0
0.2778,0.1,0.1,6.0
0.2778,0.1,0.1,8.0
0.2778,0.1,0.1,10.0
0.2778,0.1,0.1889,0.1
0.2778,0.1,0.1889,0.4
0.2778,0.1,0.1889,0.7
0.2778,0.1,0.1889,1.0
0.2778,0.1,0.1889,1.5
0.2778,0.1,0.1889,2.0
0.2778,0.1,0.1889,4.0
0.2778,0.1,0.1889,6.0
0.2778,0.1,0.1889,8.0
0.2778,0.1,0.1889,10.0
0.2778,0.1,0.2778,0.1
0.2778,0.1,0.2778,0.4
0.2778,0.1,0.2778,0.7
0.2778,0.1,0.2778,1.0
0.2778,0.1,0.2778,1.5
0.2778,0.1,0.2778,2.0
0.2778,0.1,0.2778,4.0
0.2778,0.1,0.2778,6.0
0.2778,0.1,0.2778,8.0
0.2778,0.1,0.2778,10.0
0.2778,0.1,0.3667,0.1
0.2778,0.1,0.3667,0.4
0.2778,0.1,0.3667,0.7
0.2778,0.1,0.3667,1.0
0.2778,0.1,0.3667,1.5
0.2778,0.1,0.3667,2.0
0.2778,0.1,0.3667,4.0
0.2778,0.1,0.3667,6.0
0.2778,0.1,0.3667,8.0
0.2778,0.1,0.3667,10.0
0.2778,0.1,0.4556,0.1
0.2778,0.1,0.4556,0.4
0.2778,0.1,0.4556,0.7
0.2778,0.1,0.4556,1.0
0.2778,0.1,0.4556,1.5
0.2778,0.1,0.4556,2.0
0.2778,0.1,0.4556,4.0
0.2778,0.1,0.4556,6.0
0.2778,0.1,0.4556,8.0
0.2778,0.1,0.4556,10.0
0.2778,0.1,0.5444,0.1
0.2778,0.1,0.5444,0.4
0.2778,0.1,0.5444,0.7
0.2778,0.1,0.5444,1.0
0.2778,0.1,0.5444,1.5
0.2778,0.1,0.5444,2.0
0.2778,0.1,0.5444,4.0
0.2778,0.1,0.5444,6.0
0.2778,0.1,0.5444,8.0
0.2778,0.1,0.5444,10.0
0.2778,0.1,0.6333,0.1
0.2778,0.1,0.6333,0.4
0.2778,0.1,0.6333,0.7
0.2778,0.1,0.6333,1.0
0.2778,0.1,0.6333,1.5
0.2778,0.1,0.6333,2.0
0.2778,0.1,0.6333,4.0
0.2778,0.1,0.6333,6.0
0.2778,0.1,0.6333,8.0
0.2778,0.1,0.6333,10.0
0.2778,0.1,0.7222,0.1
0.2778,0.1,0.7222,0.4
0.2778,0.1,0.7222,0.7
0.2778,0.1,0.7222,1.0
0.2778,0.1,0.7222,1.5
0.2778,0.1,0.7222,2.0
0.2778,0.1,0.7222,4.0
0.2778,0.1,0.7222,6.0
0.2778,0.1,0.7222,8.0
0.2778,0.1,0.7222,10.0
0.2778,0.1,0.8111,0.1
0.2778,0.1,0.8111,0.4
0.2778,0.1,0.8111,0.7
0.2778,0.1,0.8111,1.0
0.2778,0.1,0.8111,1.5
0.2778,0.1,0.8111,2.0
0.2778,0.1,0.8111,4.0
0.2778,0.1,0.8111,6.0
0.2778,0.1,0.8111,8.0
0.2778,0.1,0.8111,10.0
0.2778,0.1,0.9,0.1
0.2778,0.1,0.9,0.4
0.2778,0.1,0.9,0.7
0.2778,0.1,0.9,1.0
0.2778,0.1,0.9,1.5
0.2778,0.1,0.9,2.0
0.2778,0.1,0.9,4.0
